JULIO,ROSALIA,PONDAL,CASTELAO,CURROS,CUNQUEIRO,HALL,RESTAURANTE,BAR,Unnamed: 9,_sheet,_row_number,_imported_at
,,Diferencia (2024-2025):,-21152.95000000001,,,,,Diferencia (2022-2025):,114913.33000000002,2025-JULIO.SEPTIEMBRE,118,2026-01-12T10:12:30.821139
,,,,,,,,Diferencia (2023-2025):,79512.89000000001,2025-JULIO.SEPTIEMBRE,119,2026-01-12T10:12:30.821139
,,,,,,,,Diferencia (2024-2025):,64402.80000000005,2025-JULIO.SEPTIEMBRE,120,2026-01-12T10:12:30.821139
,,,,,,,,,,2025-JULIO.SEPTIEMBRE,121,2026-01-12T10:12:30.821139
,,,,,,,,,,2025-JULIO.SEPTIEMBRE,122,2026-01-12T10:12:30.821139
PRODUCCION NETA  ACUMULADA MES DE AGOSTO  (MICE + F & B),,,,,,,PRODUCCION NETA x SEGMENTOS COMPARATIVA,,,2025-JULIO.SEPTIEMBRE,123,2026-01-12T10:12:30.821139
,,,,,,,,MES DE AGOSTO,,2025-JULIO.SEPTIEMBRE,124,2026-01-12T10:12:30.821139
,,2019,2022,2023,2024,2025,,,,2025-JULIO.SEPTIEMBRE,125,2026-01-12T10:12:30.821139
SALAS,,958.68,450.41,1490.91,0,615.7,,,,2025-JULIO.SEPTIEMBRE,126,2026-01-12T10:12:30.821139
AUDIOS,,0,0,0,0,0,Ejercicio    2019,384151.59,,2025-JULIO.SEPTIEMBRE,127,2026-01-12T10:12:30.821139
BUFFET + BEBIDAS RTE.,,27473.18,11637.73,16523.35,16077.89,0,Ejercicio    2020,301.15,,2025-JULIO.SEPTIEMBRE,128,2026-01-12T10:12:30.821139
BANQUETES,,2052.73,3923.64,0,3675.45,0,Ejercicio    2021,441672.87,,2025-JULIO.SEPTIEMBRE,129,2026-01-12T10:12:30.821139
MENUS EQUIPOS Y GRUPOS,,1330.91,2886.32,4489.42,1670.52,640.82,Ejercicio    2022,557254.3,,2025-JULIO.SEPTIEMBRE,130,2026-01-12T10:12:30.821139
COFFEE-BREAK,,0,86.36,172.73,44.55,0,Ejercicio    2023,567146.59,,2025-JULIO.SEPTIEMBRE,131,2026-01-12T10:12:30.821139
ROOM-SERVICE,,3481.19,1845.46,1551.45,1403.17,1217.98,Ejercicio    2024,564930.53,,2025-JULIO.SEPTIEMBRE,132,2026-01-12T10:12:30.821139
DESAYUNO,,42871.01,51323.24,49258.15,54425.61,51895.48,Ejercicio    2025,589628.93,,2025-JULIO.SEPTIEMBRE,133,2026-01-12T10:12:30.821139
MINIBAR,,1402.27,2088.64,2217.27,1987.27,1901.61,,,,2025-JULIO.SEPTIEMBRE,134,2026-01-12T10:12:30.821139
